Round,Seed1,Team1,Team2,Seed2,Result
1,4,Wake Forest,Cleveland St,13,0
1,5,Utah,Arizona,12,0
1,6,West Virginia,Dayton,11,0
1,7,Boston College,USC,10,0
1,8,Ohio St,Siena,9,0
1,1,Connecticut,Chattanooga,16,1
1,2,Memphis,Cal St Northridge,15,1
1,3,Missouri,Cornell,14,1
1,4,Washington,Mississippi St,13,1
1,5,Purdue,Northern Iowa,12,1
1,6,Marquette,Utah St,11,1
1,7,California,Maryland,10,0
1,8,BYU,Texas A&M,9,0
1,1,Pittsburgh,East Tennessee St,16,1
1,2,Duke,Binghamton,15,1
1,3,Villanova,American,14,1
1,4,Xavier,Portland St,13,1
1,5,Florida St,Wisconsin,12,0
1,6,UCLA,VCU,11,1
1,7,Texas,Minnesota,10,1
1,8,Oklahoma St,Tennessee,9,1
1,1,North Carolina,Radford,16,1
1,2,Oklahoma,Morgan St,15,1
1,3,Syracuse,Stephen F Austin,14,1
1,4,Gonzaga,Akron,13,1
1,5,Illinois,Western Kentucky,12,0
1,6,Arizona St,Temple,11,1
1,7,Clemson,Michigan,10,0
1,8,LSU,Butler,9,1
2,1,Louisville,Siena,9,1
2,2,Michigan St,USC,10,1
2,3,Kansas,Dayton,11,1
2,13,Cleveland St,Arizona,12,0
2,1,Connecticut,Texas A&M,9,1
2,2,Memphis,Maryland,10,1
2,3,Missouri,Marquette,6,1
2,4,Washington,Purdue,5,0
2,1,Pittsburgh,Oklahoma St,8,1
2,2,Duke,Texas,7,1
2,3,Villanova,UCLA,6,1
2,4,Xavier,Wisconsin,12,1
2,1,North Carolina,LSU,8,1
2,2,Oklahoma,Michigan,10,1
2,3,Syracuse,Arizona St,6,1
2,4,Gonzaga,Western Kentucky,12,1
3,1,Louisville,Arizona,12,1
3,2,Michigan St,Kansas,3,1
3,1,Connecticut,Purdue,5,1
3,2,Memphis,Missouri,3,0
3,1,Pittsburgh,Xavier,4,1
3,2,Duke,Villanova,3,0
3,1,North Carolina,Gonzaga,4,1
3,2,Oklahoma,Syracuse,3,1
4,1,Louisville,Michigan St,2,0
4,1,Connecticut,Missouri,3,1
4,1,Pittsburgh,Villanova,3,0
4,1,North Carolina,Oklahoma,2,1
5,2,Michigan St,Connecticut,1,1
5,3,Villanova,North Carolina,1,0
6,2,Michigan St,North Carolina,1,0
1,1,Kansas,Lehigh,16,1
1,2,Ohio St,Santa Barbara,15,1
1,3,Georgetown,Ohio,14,0
1,4,Maryland,Houston,13,1
1,5,Michigan St,New Mexico St,12,1
1,6,Tennessee,San Diego St,11,1
1,7,Oklahoma St,Georgia Tech,10,0
1,8,UNLV,Northern Iowa,9,0
1,1,Syracuse,Vermont,16,1
1,2,Kansas St,North Texas,15,1
1,3,Pittsburgh,Oakland,14,1
1,4,Vanderbilt,Murray St,13,0
1,5,Butler,UTEP,12,1
1,6,Xavier,Minnesota,11,1
1,7,BYU,Florida,10,1
1,8,Gonzaga,Florida St,9,1
1,1,Kentucky,East Tennessee St,16,1
1,2,West Virginia,Morgan St,15,1
1,3,New Mexico,Montana,14,1
1,4,Wisconsin,Wofford,13,1
1,5,Temple,Cornell,12,0
1,6,Marquette,Washington,11,0
1,7,Clemson,Missouri,10,0
1,8,Texas,Wake Forest,9,0
1,1,Duke,Arkansas Pine Bluff,16,1
1,2,Villanova,Robert Morris,15,1
1,3,Baylor,Sam Houston St,14,1
1,4,Purdue,Siena,13,1
1,5,Texas A&M,Utah St,12,1
1,6,Notre Dame,Old Dominion,11,0
1,7,Richmond,St Marys,10,0
1,8,California,Louisville,9,1
2,1,Kansas,Northern Iowa,9,0
2,2,Ohio St,Georgia Tech,10,1
2,14,Ohio,Tennessee,6,0
2,4,Maryland,Michigan St,5,0
2,1,Syracuse,Gonzaga,8,1
2,2,Kansas St,BYU,7,1
2,3,Pittsburgh,Xavier,6,0
