Round,Seed1,Team1,Team2,Seed2,Result
1,4,Kansas,Northeastern,13,1
1,5,Auburn,New Mexico St,12,1
1,6,Iowa St,Ohio St,11,0
1,7,Wofford,Seton Hall,10,1
1,8,Utah St,Washington,9,0
2,1,Duke,Central Florida,9,1
2,2,Michigan St,Minnesota,10,1
2,3,LSU,Maryland,6,1
2,4,Virginia Tech,Liberty,12,1
2,1,Gonzaga,Baylor,9,1
2,2,Michigan,Florida,10,1
2,3,Texas Tech,Buffalo,6,1
2,4,Florida St,Murray St,12,1
2,1,Virginia,Oklahoma,9,1
2,2,Tennessee,Iowa,10,1
2,3,Purdue,Villanova,6,1
2,13,UC Irvine,Oregon,12,0
2,1,North Carolina,Washington,9,1
2,2,Kentucky,Wofford,7,1
2,3,Houston,Ohio St,11,1
2,4,Kansas,Auburn,5,0
3,1,Duke,Virginia Tech,4,1
3,2,Michigan St,LSU,3,1
3,1,Gonzaga,Florida St,4,1
3,2,Michigan,Texas Tech,3,0
3,1,Virginia,Oregon,12,1
3,2,Tennessee,Purdue,3,0
3,1,North Carolina,Auburn,5,0
3,2,Kentucky,Houston,3,1
4,1,Duke,Michigan St,2,0
4,1,Gonzaga,Texas Tech,3,0
4,1,Virginia,Purdue,3,1
4,5,Auburn,Kentucky,2,1
5,2,Michigan St,Texas Tech,3,0
5,1,Virginia,Auburn,5,1
6,3,Texas Tech,Virginia,1,0
